"country","alpha-2 code","alpha-3 code","numeric code","latitude","longitude"
"Afghanistan","AF","AFG","4","33.0","65.0"
"Albania","AL","ALB","8","41.0","20.0"
"Algeria","DZ","DZA","12","28.0","3.0"
"American Samoa","AS","ASM","16","-14.3333","-170.0"
"Andorra","AD","AND","20","42.5","1.6"
"Angola","AO","AGO","24","-12.5","18.5"
"Anguilla","AI","AIA","660","18.25","-63.1667"
"Antarctica","AQ","ATA","10","-90.0","0.0"
"Antigua and Barbuda","AG","ATG","28","17.05","-61.8"
"Argentina","AR","ARG","32","-34.0","-64.0"
